Nr.	Depth	Coverage	Quality	Average	St. Dev.	p-Value	Conditions
1	2	1450	0.03879866376519203	0.5755368568157327	0.8028542999446756	NaN	Country = 'Germany' AND Employment = 'Employed-full-time'
2	1	1747	0.037273846566677094	0.5120373416370028	0.8638642128961358	NaN	Country = 'Germany'
3	1	891	0.027495436370372772	-0.4876171929801487	0.7946601770388715	NaN	Country = 'Italy'
4	2	758	0.026960531249642372	-0.507714022432594	0.75525820973523	NaN	Country = 'Italy' AND Employment = 'Employed-full-time'
5	2	1002	0.025754213333129883	0.5770040729088698	0.7791845983021929	NaN	Country = 'Germany' AND Age = '25-34-years-old'
