Nr.	Depth	Coverage	Quality	Average	St. Dev.	p-Value	Conditions
1	1	97	17.81487464904785	5.474681107039304	0.06469479615314774	NaN	Country = 'Sweden'
2	2	94	17.51678466796875	5.474470422623005	0.06559454511740347	NaN	Country = 'Sweden' AND YearsCode >= 3.0
3	2	83	17.20500373840332	5.482627776731928	0.051837640187257915	NaN	Country = 'Sweden' AND Employment = 'Employed-full-time'
4	2	90	17.188650131225586	5.474981689453125	0.06605789967822838	NaN	Country = 'Sweden' AND YearsCode <= 30.0
5	2	89	17.101909637451172	5.475077082601826	0.0661894998080436	NaN	Country = 'Sweden' AND YearsCodePro <= 16.0
