Nr.	Depth	Coverage	Quality	Average	St. Dev.	p-Value	Conditions
1	1	489	0.022807516157627106	5.362841397462935	0.11521163927165982	NaN	Country = 'India'
2	2	432	0.02087646909058094	5.366105256257234	0.11465268011388709	NaN	Country = 'India' AND Employment = 'Employed-full-time'
3	1	97	0.019172638654708862	5.474681107039304	0.06469479615314774	NaN	Country = 'Sweden'
4	2	379	0.018061533570289612	5.360752236560026	0.1173452638938735	NaN	Country = 'India' AND EdLevel = 'Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.)'
5	2	83	0.01769592985510826	5.482627776731928	0.051837640187257915	NaN	Country = 'Sweden' AND Employment = 'Employed-full-time'
