Nr.	Depth	Coverage	Quality	Average	St. Dev.	p-Value	Conditions
1	2	1441	0.03853225335478783	0.5737014124577117	0.804432750583903	NaN	Country = 'Germany' AND Employment = 'Employed-full-time'
2	1	1735	0.03702543303370476	0.5103949027377521	0.8653102612403559	NaN	Country = 'Germany'
3	1	889	0.02759448252618313	-0.4888273739037015	0.7944513070456594	NaN	Country = 'Italy'
4	2	756	0.027056297287344933	-0.5091481284489707	0.7547655432992901	NaN	Country = 'Italy' AND Employment = 'Employed-full-time'
5	3	865	0.026219120249152184	0.6126035833634393	0.7417735859045298	NaN	Country = 'Germany' AND Age = '25-34-years-old' AND Employment = 'Employed-full-time'
