Nr.	Depth	Coverage	Quality	Average	St. Dev.	p-Value	Conditions
1	1	467	25.199373245239258	5.83592390758833	0.13017603907337652	NaN	Country = 'Norway'
2	1	306	25.159839630126953	5.903465919245303	0.28034177142021627	NaN	Country = 'Russian-Federation'
3	1	1318	24.099456787109375	5.711295375331942	0.25853125657811676	NaN	Country = 'India'
4	2	252	23.664823532104492	5.916480654761905	0.2642299659580478	NaN	Country = 'Russian-Federation' AND Employment = 'Employed-full-time'
5	2	416	22.91810417175293	5.825394263634315	0.11720092892119673	NaN	Country = 'Norway' AND Employment = 'Employed-full-time'
